Index,Title,Supplier,Price,Category,Warranty,ModelNumber,Description,ImageUrl
1,Bếp ga âm Rinnai RVB-6SDQ(B),Rinnai,3.200.000₫,Bếp gas âm,: 24 tháng,RVB-6SDQ(B),"Bếp ga âm Rinnai RVB-6SDQ(B)có thiết kế màu đen quyến rũ, mặt kính sáng bóng, dễ lau chùi. Kính Ceramic là chất liệu thông dụng của bếp ga âm bởi tính chịu lực, chịu nhiệt tốt,  ít bám bụi bẩn, dầu mỡ.<br><br>Bếp ga âm Rinnai RVB-6SDQ(B)có 2 lò nấu, 1 to 1 nhỏ với 2 vòng lửa. Bếp nhỏ chuyên dụng cho các món hầm, ninh. Bạn vừa tiết kiệm chi phí ga cũng như có thời gian làm các công việc khác.<br>2 núm điều khiển dễ sử dụng, hoạt động độc lập.<br>Kiềng thép phủ men 4 chân chắc chắn chịu trọng lượng lớn của xoong, nồi, dễ vệ sinh sau khi nấu.<br>Mâm chia lửa hợp kim bền, tiết kiệm ga, lượng gas tiêu thụ: 0.38kg/h. Bếp có đầu hầm cho ngọn lửa nhỏ, tập trung ở đáy nồi thích hợp hâm nóng thức ăn, và các món ninh, hầm.<br>Hệ thống đánh lửa bằng pin khá phổ biến trên thị trường, tiết kiệm thời gian bật/ tắt, dễ thay thế khi hết và đặc biệt an toàn.<br>Rinnai RVB-6SDQ(B)có cảm biến ngắt ga tự động, trước tác động của yếu tố bên ngoài, bảo vệ an toàn tuyệt đối cho gia đình bạn.<br>Hình dáng nhỏ nhắn, kích thước khoét đá 520 x 360 mm phù hợp với mọi gia đình.<br>Bếp được bảo hành 2 năm chính hãng Rinnai tại nhà giúp khách hàng an tâm mua và sử dụng.<br>",2017-12-18-400-2.jpg
2,Bếp gas âm Rinnai RVB-6RB,Rinnai,2.100.000₫,Bếp gas âm,: 24 tháng,RVB-6RB,"Bếp gas âm Rinnai RVB-6RBlà sản phẩm bếp gas chính hãng Rinnai được sản xuất tại Việt Nam với công nghệ Nhật Bản. Sản phẩm là bếp âm với 2 lò nấu với 1 lò nấu to và 1 lò nấu nhỏ, mặt kính màu đen sang trọng được làm từ kính cường lực chịu lực chịu nhiệt siêu bền. Mâm chia lửa được thiết kế với mâm chia lửa kiểu Á phù hợp với thói quen nấu nướng của người Việt Nam nói riêng cũng như người Châu Á nói chung.<br><br>-  Bếp gas âm Rinnai RVB-6RB có mâm chia lửa của sản phẩm có đầu đốt được làm từ đồng nguyên chất giúp tiết kiệm gas đồng thời chống hao mòn. Bếp Rinnai RVB-6RB là sản phẩm bếp gas âm sử dụng hệ thống đánh lửa bằng PIN hiện đại đồng thời sản phẩm còn được tích hợp hệ thống đầu cảm ứng tự đồng ngắt gas an toàn nếu xảy ra sự cố trong quá trình nấu nướng.-  Bếp có 2 lò nấu với 1 lò nấu to và một lò nấu nhỏ.<br>-  Hai lò nấu khầu như không có điểm khác biệt trong thiết kế điểm khác duy nhất chính là kích thước lò nấu và lượng gas hao tổn của 2 lò nấu là khác nhau. Lò nhỏ phù hợp cho việc nấu những món ăn cần lửa nhỏ trong khi đó lò nấu to lại phù hợp sử dụng trong việc nấu những món xào, chiên...<br>-  Kiềng của sản phẩmbếp gas âm Rinnai RVB-6RBđược làm từ thép chịu lực chịu nhiệt đồng thời còn được sơn 1 lớp sơn tĩnh điện chống trơn trượt đáy nồi trong quá trình sử dụng.<br>-  Mặt sau của bếp có đầy đủ những vị trí cần thiết: vị trí lắp đặt PIN, vị trí đầu dẫn gas...<br>",2019-11-10-18981636586rb.jpg
3,Bếp Gas Âm Latino LT 389B,Latino,3.415.000₫,Bếp gas âm,: 36 tháng,LT 389B,"Căn bếp là một trong những vị trí quan trọng để giữ lửa và gìn giữ hạnh phúc gia đình. Với mong muốn đưa ra thị trường một sản phẩm bếp vừa an toàn khi sử dụng vừa làm đẹp cho không gian, bếp gas âm LatinoLT 389Bsẽ giúp cho chị em có thêm niềm hứng khởi mỗi khi nấu ăn và có thêm nhiều thời gian chăm sóc cho bản thân và gia đình.<br><br>Ưu điểm nổi bật của bếp gas âm LatinoLT 389B<br>+ Tiết kiệm nhiên liệu: pép hầm giúp nấu nướng tiết kiệm gas và đạt hiệu suất tối ưu.<br>+ An toàn tuyệt đối: Cảm ứng ngắt gas tự động (đặc biệt) an toàn cho người sử dụng.<br>+ Độ bền cao: Kiềng của bếp được đúc bằng thép tráng men chắc chắn, chống trượt, siêu bền. Khay inox cao cấp chống gỉ, dễ dàng vệ sinh khi sử dụng. Ngoài ra, hệ thống đánh lửa tự động bằng pin IC đánh lửa liên tục đảm bảo độ bền cao.<br>+ Chất liệu cao cấp, siêu bền: Bát chia lửa thiết kế kiểu Châu Âu, pep hầm tiết kiện gas.<br>+ Bộ bát và pép là một trong những yêu cầu quan trọng quyết định chất lượng của bếp. Độ bền của bếp cũng một phần do chất liệu đầu đốt quyết định.<br>+ Dễ dàng vệ sinh: bếp gas âm được thiết kế với mặt kính đen chịu lực, chịu nhiệt dễ dàng vệ sinh khi sử dụng.<br>+ Dễ dàng sử dụng: Nhấn xoay và giữ là cách sử dụng cho dòng sản phẩm bếp gas âm nói chung và bếp gasLT 727nói riêng<br>Một số lưu ý khi sử dụng:<br>+ Đọc kỹ hướng dẫn trước khi sử dụng<br>+ Để xa tầm tay trẻ em<br>+ Kiểm tra lại bếp và bình ga trước khi nấu<br>+ Khóa ga cẩn thận sau khi sử dụng xong bếp<br>+ Lau chùi vệ sinh bếp gas sau khi sử dụng, nên dùng một chút nước rửa chén cùng khăn mềm để lau bề mặt kính.<br>+ Tránh va đập mạnh lên bề mặt bếp<br><br>",2022-08-31-bep-ga-am-latino-lt-389b.jpg
4,Bếp ga kết hợp từ Teka IG 620 1G AI AL DR CI,Teka,17.990.000₫,Bếp gas âm,: 24 tháng,IG 620 1G AI AL DR CI,"Bếp ga kết hợp từ Teka IG 620 1G AI AL DR CIlắp âm bàn, bếp gồm 3 vùng nấu, mỗi vùng nấu có công suất khác nhau, tiện dụng trong quá trình nấu ăn. Có thể dùng kết hợp bếp từ + bếp gas, sử dụng mọi loại nồi và phù hợp với nhiều loại món ăn khác nhau.<br>Bếp sử dụng mặt kính cao cấp Eurokera - made in France chịu lực chịu nhiệt lên đến 850 độ C, nên khách hàng yên tâm sử dụng.<br><br>Bảng điều khiển bàn phím riêng biệt giúp việc người nấu ăn dễ dàng sử dụng từng bếp. nút núm vặn là sử dụng cho bếp gas, còn phím cảm ứng bên phải sử dụng cho 2 bếp từ<br>Đặc điểm của Bếp ga kết hợp từTeka IG 620 1G AI AL DR CI<br>Bếp kết hợp giữa bếp ga và bếp từ, lắp âmĐiều khiển bằng cảm ứng cho bếp từ vànút vặn cho bếp gaCài đặt chương trình riêng biệt cho từng bếp nấuChức năng PowerKiềng bếp bằng gangĐánh lửa bằng điệnHệ thống ngắt ga an toànChức năng khóa an toànĐèn hiển thị nhiệt dư03 mặt bếp nấu: 01 bếp từ có vòng nhiệtØ 210mm ; 01 bếp từ có vòng nhiệt Ø145mm; 01 bếp ga có vòng lửa đôi 5kWMức công suất tối đa (gas): 5kWMức công suất tối đa (điện từ): 3.600WXuất xứ: Châu Âu.Phụ kiện đi kèm: Bộ dò ga.<br><br>",2018-12-22-bep-tu-ket-hop-ga-ig-620-1g-ai-al-dr-ci1.jpg
5,Bếp Ga Âm Sunhouse SHB5546MT,Sunhouse,1.900.000₫,Bếp gas âm,: 24 tháng,SHB5546MT,"Bếp gas âm kính Sunhouse SHB5546MTcó kiểu dáng sang trọng, mặt kính toàn phần đen bóng. Đây là loại kính chịu nhiệt, chịu lực tốt, bề mặt trơn bóng nên rất dễ dàng lau chùi, vệ sinh. SHB5546MT được thiết kế lắp âm vừa tiết kiệm diện tích, vừa góp phần tạo nên vẻ hiện đại cho căn bếp của bạn<br><br><br>-Điều chỉnh nhiệt độ bằng núm vặn nhẹ nhàng  bố trí trên mặt bếp<br><br>- Kiềng bếp độc lập, tráng men siêu bền<br>Kiềng bếp 5 chân vững chãi bằng thép nên có khả năng chịu lực và chịu nhiệt tốt, không bị hao mòn theo thời gian. Bề mặt kiềng tráng men, hạn chế bám bẩn và dễ lau chùi.Kiềng độc lập có thể tháo rời, tiện lợi cho việc lau chùi vệ sinh.<br>- Đầu đốt bằng đồng thau & họng bếp inox cao cấp<br>Đầu được thiết kế với nhiều khe nhỏ giúp ngọn lửa tỏa đều, nấu ăn nhanh, được trang bị cả đầu hâm nên rất tiết kiệm gas. Được làm từ đồng thau chống bào mòn sử dụng lâu dài, đầu đốt sẽ không bị biến dạng dù cho việc sử dụng dưới nhiệt độ cao trong một khoảng thời gian dài khi ninh, hầm,… Họng bếp bằng thép không gỉ, không sinh ra muội đen, cho ngọn lửa xanh không đen đáy nồi, tiết kiệm nhiên liệu và an toàn khi sử dụng.<br><br>-Hệ thống đánh lửa bằng pin<br>Bếp gas âm kính Sunhouse SHB5546MT có hệ thống đánh lửa bằng PIN rất an toàn, tiện lợi. Bạn dễ dàng bật tắt và điều chỉnh lửa bằng 2 núm vặn cực nhạy, chỉ cần xoay 1 lần là lửa đã cháy, không cần bật nhiều lần gây rò rỉ và hao phí gas.<br>Bếp gas âm dùng hệ thống đánh lửa IC nhạy bén, tránh gây thất thoát gas.<br>Có thêm 1 đầu hâm tiện dụng, hữu ích khi cần hâm nóng thức ăn, ninh hầm thực phẩm, giúp thu nhỏ vòng lửa, giảm nhiệt lượng, tiết kiệm gas tiêu thụ<br><br>AN TOÀN SỬ DỤNG – TIẾT KIỆM GAS<br>SHB5546MTcó 2 vùng nấu rộng rãi giúp nấu được khối lượng lớn thức ăn lớn cùng lúc. Và vì được làm từ chất liệu mặt kính toàn phần nên bạn có thể dễ dàng vệ sinh bề mặt bếp chỉ với vài thao tác đơn giản.<br>Bếp gas âm kínhSHB5546MTcó ngọn lửa tập trung, tỏa đều và dễ dàng điều chỉnh to nhỏ phù hợp với nhu cầu nấu nướng. Bếp được trang bị đầu hâm cho ngọn lửa nhỏ khi nấu, giúp tiết kiệm nhiên liệu nên rất thích hợp để hâm nóng thức ăn hoặc làm các món hầm, ninh ở nhiệt độ thấp trong thời gian dài.<br>Sản phẩm phù hợp với mọi loại nồi chảo, kể cả chảo sâu lòng, chảo xào cỡ lớn, nồi gang, nồi đất hay nồi thủy tinh. Vì vậy bạn dễ dàng chế biến thật nhiều món ăn khác nhau cho gia đình.<br><br>",2020-03-04-bep-ga-am-sunhouse-shb-5546mt.png
6,Bếp Ga Âm Eurosun EU-GA291D,Eurosun,5.900.000₫,Bếp gas âm,: 24 tháng,EU-GA291D,"Bếp gas âm EU-GA291Dlà sản phẩm được thiết kế lắp âm bàn đá, bếp có 2 khu vực nấu riêng biệt, giúp việc nấu ăn dễ dàng. Bếp có nhiều ưu điểm nổi bật như sử dụng các loại vật liệu cao cấp, các chi tiết như mặt kính, kiềng, núm đánh lửa, khay… của bếp đều được thiết kế rất sang trọng.Bề mặt bếp gas âm được làm từ mặt kính cường lực chịu lực và chịu nhiệt tốt dày tới 8mm. Phần mâm chia lửa của bếp được làm bằng đồng có độ bền cao, phần họng gas sử dụng hợp kim atimon hoặc được làm bằng đồng 100%,chống oxi hóa ,tăng tuổi thọ cho bếp.<br><br>Bếp có hệ thống kiềng gang đúc chắc chắn chống trơn trượt với mọi loại nồi nấu. Khay Inox 304 cao cấp chống han gỉ. Đặc biệt bếp được trang bị hệ thống ngắt gas tự động với cụm van bằng đồng siêu bền đảm bảo an toàn tuyệt đối trong quá trình sử dụng.<br>Bếp gas âm EU-GA291D sử dụng DC đánh lửa bằng pin, đây là loại đánh lửa điện học có bộ điều khiển điện tử giúp tạo ra các tia lửa điện làm cho nhiên liệu được đốt cháy nhanh chóng, hạn chế phần nào rò rĩ gas gây ảnh hưởng không tốt đến sức khỏe và đồng thời cũng tiết kiệm được rất nhiều lượng gas cho gia đình bạn. Bên cạnh đó bếp còn có nút vặn đơn giản dễ sử dụng làm bằng hợp kim cao cấp với các mức độ lửa khác nhau từ thấp đến cao cho phép bạn dễ dàng tùy chỉnh theo từng món ăn vô cùng tiện dụng.<br>Ngoài các tính năng kể trên thì tính an toàn cũng rất được chú trọng khi nhà sản xuất tích hợp vào tính năng cảm biến ngắt gas tự động và cảm biến đánh lửa an toàn.<br><br><br>- Chế độ hầm tiết kiệm gas,thu vòng lửa tập trung vào đáy nồi<br>Bếp gas âmEurosun EU-GA291Dthiết kế 2 lò nấu với lượng gas tiêu thụ 0.28Kg/h/lò, hệ thống chia lửa giúp lửa được chia đều hơn và bền bỉ hơn, cho ngọn lửa xanh, vành chia lửa có thể kiểm soát lửa nhỏ chính xác, có chế độ thu về một vòng lửa. Với chế độ thu về 1 vòng lửa này, ngọn lửa sẽ được thu nhỏ lại và tập trung vào đáy nồi, nhiệt lượng sẽ không bị thất thoát ra bên ngoài, tiện lợi cho việc ninh hầm mà không sợ hao phí gas.<br>Bếp có kích thước theo tiêu chuẩn Châu Âu 760 x 440 x 108mm, giúp căn bếp của bạn thêm phần sang trọng và hiện đang được ưa chuộng nhất tại Việt Nam nhờ chất lượng cao với giá thành hợp lý phù hợp với đa số người dân.<br>Bếp gas âm EU-GA291D bảo hành chính hãng nên khách hàng hoàn toàn an tâm về sản phẩm.<br><br><br>",2020-01-04-bep-ga-am-eurosun-eu-ga291d.jpg
7,Bếp 1 từ 1 gas Grasso GS-207,Grasso,7.400.000₫,Bếp gas âm,: 24 tháng,GS-207,"Bếp hỗn hợp gas & từ Grasso GS-207là model mới nhất của Grasso Italy, sản phẩm tuyệt vời này là bếp gas hỗn hợp kết hợp cả gas và từ giúp người dùng có thể yên tâm sử dụng trong mọi hoàn cảnh kể cả khi mất điện hay hết gas cũng không lo gián đoạn.<br><br><br>- Kiểu dáng thiết kế: Bếp hỗn hợp gas & từGrasso GS-207được làm từ kính màu đen sang trọng với thiết kế bên trái là bếp từ, bên phải là gas. Kính đen dày 8mm chịu lực và chịu nhiệt cao bếp thiết kế theo kiểu Á và khá phù hợp với gia đình có căn bếp hiện đại<br>- tiết kiệm chi phí khi nấu nướng do đun nhanh và không thất thoát nhiệt do cảm ứng theo đáy nồi;<br>- không gây nóng cho người nấu bếp;<br>- không bị tắt lửa do gió, quạt.<br>- kiểu dáng thời trang có thể đặt dương trên mặt đá hoặc cắt âm.<br>- dễ dàng vệ sinh, lau chùi, bảo quản.<br>- không lo hết gas.<br>+ Công suất tối đa 2100w.<br>+ Điều khiển cảm ứng với 09 mức.<br>+ Chức năng tự động tắt, tạm ngưng khi nhấc nồi.<br>+ Chức năng hẹn giờ, khóa an toàn trẻ em.<br>- tiết kiệm khi vẫn giữ và sử dụng được các nồi, chảo cũ.<br>- Khi mất điện vẫn có thể sử dụng.<br>- Hợp phong thủy.<br>- Có thể đặt nổi hoặc âm mặt đá bếp trên mọi mặt phẳng.<br>+ Bộ chia lửa bằng đồng, pep hầm tiết kiệm gas.<br>+ Cảm ứng (FFD) ngắt gas tự động và an toàn.<br>+ Hệ thống đánh lửa bằng pin (IC).<br>",2017-08-14-gs207400.jpg
8,Bếp gas âm Rinnai RVB-2Gi(B),Rinnai,4.450.000₫,Bếp gas âm,: 24 tháng,Rinnai RVB-2Gi(B),"Bếp gas âm Rinnai RVB-2Gi(B)là sản phẩm bếp gas âm thuộc thương hiệu Rinnai - Sản phẩm của Việt Nam sản xuất. Bếp gas âm Rinnai RVB - 2Gi(B) là sản phẩm bếp gas âm của chính hãng Rinnai với 2 lò nấu. Mặt kính có màu đen sang trọng với đường viền trắng tinh tế được làm từ kính cường lực siêu bền đẹp. Kích thước của bếp chuẩn với kích thước mặt kính : (760 x 445 x 125) mm và kích thước lặp đặt: (703 x 403)mm. Bếp được thiết kế thêm 4 chân để có thể lắp nổi trên kệ bếp phù hợp với mọi nhu cầu của người sử dụng.<br><br>Bếp gas âm Rinnai RVB - 2Gi(B)là sản phẩm chính hãng Rinnai được sản xuất và lắp ráp tại Việt Nam theo công nghệ và linh kiện của Nhật Bản. Các bạn có thể hoàn toàn tin tưởng và an tâm về chất lượng của sản phẩm.<br>Bếp gas âm Rinnai RVB - 2Gi(B) với lò nấu được làm từ công nghệ đốt trong. Đây là một trong những dạng công nghệ đầu đốt giảm thiểu khí thải, quá trình đốt cháy nhiên liệu được triệt để giúp tiết kiệm gas khi nấu bếp. Có thể nói công nghệ đốt trong Inner Burner ở bếp gas âm là một phát kiến vượt bậc của tập đoàn hùng mạnh lâu đời Rinnai của Nhật Bản. Hiện nay, công nghệ này đã được chuyển giao cho Công ty Rinnai tại Việt Nam.Những ưu điểm của công nghệ đốt trong:- Tạo ngọn lửa dồn về trung tâm bếp nấu.- Tạo ngọn lửa xoắn đều quanh lò nấu, tập trung vào tâm điểm đáy nồi nấu.- Truyền nhiệt tối đa cho bếp nấu, hấp thu nhiệt lượng tối ưu, giảm thiểu nhiệt lượng truyền ra ngoài.- Cho ngọn lửa đều và mạnh, không bị tạt lửa khi gặp gió.- Rút ngắn thời gian đun nấu khoảng 10-20%.- Tiết kiệm gas khoảng 30%.<br><br>Ngoài công nghệ đầu đốt trong, Bếp gas âm Rinnai RVB - 2Gi(B) được trang bị hệ thống đánh lửa bằng PIN hiện đại nhất. Hệ thống tự động ngắt gas an toàn khi có sự cố nấu nướng.<br>Bụng bếp gas âmRinnai RVB-2Gi(B)được làm bằng thép chống rỉ. Góc dưới bên trái chính là vị trí đường dẫn gas của bếp. Góc trên bên phải là vị trí lắp PIN đánh lửa.Hiện sản phẩm bếp gas âm Rinnai RVB-2Gi(B) đang được bày bán tạiBếp247.vnvới giá ưu đãi nhất! Sản phẩm được bảo hành tại nhà 2 năm chính hãng Rinnai.<br>",2017-12-20-400-4.jpg
9,Bếp ga âm Erosun EU-GA283,Eurosun,4.380.000₫,Bếp gas âm,: 36 tháng,EU-GA283,"Bếp gas Eurosun EU-GA283nhập khẩu nguyên chiếc về Việt Nam. Sản phẩm được thiết kế lắp âm bàn đá, bếp có 2 khu vực nấu riêng biệt, giúp việc nấu ăn dễ dàng. Lượng tiêu thụ gas của bếp là 0.26kg/h nấu với mức gas cao nhất.Bếp có chức năng ngắt gas tự động khi xảy ra sự cố tràn thức ăn trong khi nấu. Chế độ cảm ứng ngắt gas tự động cho việc sử dụng gas an toàn hơn,chống cháy nổ. Hệ thống cảm biến đánh lửa nhanh giúp bạn tiết kiệm thời gian cũng như nhiên liệu tối đa nhất có thể. Bếp sử dụng hệ thống đánh lửa bằng Pin thì có ưu điểm là bật tắt dễ dàng, thích hợp cho những người tay yếu bật/ tắt bếp. Bạn có thể hoàn toàn yên tâm sử dụng mà không còn nỗi lo nguy hiểm bởi sự cố rò ga.<br><br>Kiềng đun nấu của bếp sử dụng loại kiềng gang đúc nguyên khối, có 1 khay sử dụng chất liệu inox 304 chống han rỉ. Họng đánh lửa của bếp được cấu tạo bởi Atimon cao cấp, giúp bếp vận hành ổn định lâu bền với thời gian dài.Bếp ga âmEU-GA283có chế độ tiết kiệm gas giảm tới 30% gas so với các loại bếp thông thường. Được thiết kế 2 bếp với 3 vòng lửa giúp nấu nhanh hơn và mức điều chỉnh vòng lửa khác nhau là vật dụng lý tưởng cho các bà nội trợ thực hiện các món ăn ngon cho gia đình.<br><br>Mặt kính cường lực chịu nhiệt và chịu va đập tốt,mặt kính dày 8mm và rất dễ vệ sinh.<br>",2019-09-26-bep-ga-am-eurosun-eu-ga283.jpg
10,Bếp Ga Âm Sunhouse SHB501MT,Sunhouse,1.580.000₫,Bếp gas âm,: 24 tháng,SHB501MT,"Bếp gas âm kính Sunhouse SHB501MTcó kiểu dáng sang trọng, mặt kính toàn phần đen bóng. Đây là loại kính chịu nhiệt, chịu lực tốt, bề mặt trơn bóng nên rất dễ dàng lau chùi, vệ sinh. SHB501MT được thiết kế lắp âm vừa tiết kiệm diện tích, vừa góp phần tạo nên vẻ hiện đại cho căn bếp của bạn.<br><br>-Kiềng bếp độc lập, tráng men siêu bền<br>Kiềng bếp 5 chân vững chãi bằng thép nên có khả năng chịu lực và chịu nhiệt tốt, không bị hao mòn theo thời gian. Bề mặt kiềng tráng men, hạn chế bám bẩn và dễ lau chùi.Kiềng độc lập có thể tháo rời, tiện lợi cho việc lau chùi vệ sinh.<br><br><br>",2020-03-04-bep-ga-am-sunhouse-shb-501-mt.png
